,Price,Age,Position,Squad,Appearances,PPG,Goals,Assists,Own Goals,Subs In,Subs Out,Yellows,Second Yellows,Red,Penalty Goals,Minutes per goal,Minutes played,Team
0,70000000.0,26.0,Centre-Back,79.0,76.0,1.3,5.0,3.0,0.0,0.0,3.0,15.0,0.0,1.0,0.0,898.01,6.7,Man Utd
1,35000000.0,25.0,Centre-Back,87.0,69.0,1.83,1.0,1.0,1.0,5.0,2.0,4.0,0.0,0.0,0.0,3.5,5.86,Man Utd
2,25000000.0,25.0,Centre-Back,57.0,36.0,2.13,1.0,0.0,1.0,7.0,3.0,4.0,0.0,1.0,0.0,1.36,2.48,Man Utd
3,15000000.0,27.0,Centre-Back,62.0,49.0,1.9,0.0,1.0,2.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,3.87,Man Utd
4,10000000.0,29.0,Centre-Back,41.0,20.0,1.75,0.0,1.0,1.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,1265.0,Man Utd
5,7000000.0,22.0,Centre-Back,49.0,40.0,1.75,0.0,1.0,0.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,590.57,Man Utd
6,30000000.0,24.0,Left-Back,76.0,63.0,1.86,1.0,5.0,1.0,5.0,4.0,17.0,0.0,0.0,0.0,3.58,5.24,Man Utd
7,5000000.0,34.0,Left-Back,94.0,80.0,1.75,4.0,10.0,0.0,6.0,10.0,21.0,1.0,0.0,0.0,3.33,6.67,Man Utd
8,40000000.0,21.0,Right-Back,56.0,46.0,1.28,0.0,4.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,631.47,Man Utd
9,20000000.0,20.0,Right-Back,69.0,58.0,1.88,4.0,11.0,0.0,10.0,9.0,7.0,0.0,1.0,1.0,684.0,4.43,Man Utd
10,7000000.0,21.0,Right-Back,50.0,37.0,0.76,0.0,0.0,1.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,885.82,Man Utd
11,25000000.0,31.0,Defensive Midfield,91.0,87.0,1.95,3.0,3.0,0.0,3.0,7.0,18.0,1.0,0.0,0.0,5.42,7.49,Man Utd
12,100000000.0,26.0,Central Midfield,87.0,84.0,1.8,22.0,23.0,0.0,6.0,14.0,12.0,1.0,1.0,8.0,731.0,6.89,Man Utd
13,25000000.0,26.0,Central Midfield,84.0,62.0,2.05,5.0,8.0,0.0,6.0,15.0,17.0,1.0,0.0,0.0,815.59,4.85,Man Utd
14,20000000.0,22.0,Central Midfield,74.0,49.0,1.98,2.0,0.0,0.0,18.0,3.0,6.0,0.0,0.0,0.0,612.0,2.89,Man Utd
